Book,Price,Link
The Science of Sci-Fi,$20.99,https://www.audible.com/pd/The-Science-of-Energy-Audiobook/B01BVPXR7K?qid=1692093044&sr=1-14&ref=a_search_c3_lProduct_1_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Primal Hunter 6,Free with Plus trial,https://www.audible.com/search?searchAuthor=Michael+E.+Wysession&ref=a_search_c3_lAuthor_1_14_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Warship,$21.29,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_14_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of the Mind,Free with Plus trial,https://www.audible.com/search?searchNarrator=Michael+E.+Wysession&ref=a_search_c3_lNarrator_1_14_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Space Race,$24.95,https://www.audible.com/series/The-Great-Courses-Earth-Sciences-Audiobooks/B01D38NR9Q?ref=a_search_c3_lSeries_1_14_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Understanding Human Design,$15.36,https://www.audible.com/pd/What-If-Audiobook/B00LV6V4UW?qid=1692093044&sr=1-15&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Reading in Action,Free with Plus trial,https://www.audible.com/pd/What-If-Audiobook/B00LV6V4UW?qid=1692093044&sr=1-15&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Science of Getting Rich,$19.95,https://www.audible.com/author/Randall-Munroe/B004H66444?ref=a_search_c3_lAuthor_1_15_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Becoming Fluent,$16.41,https://www.audible.com/search?searchNarrator=Wil+Wheaton&ref=a_search_c3_lNarrator_1_15_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Columbus Day,$23.48,https://www.audible.com/pd/Algorithms-to-Live-By-Audiobook/B01D24NLWO?qid=1692093044&sr=1-16&ref=a_search_c3_lProduct_1_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Data Analytics, Data Visualization &amp; Communicating Data: 3 books in 1",$52.16,https://www.audible.com/pd/Algorithms-to-Live-By-Audiobook/B01D24NLWO?qid=1692093044&sr=1-16&ref=a_search_c3_lProduct_1_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Beard Science,Free with Plus trial,https://www.audible.com/author/Brian-Christian/B004IZCXAI?ref=a_search_c3_lAuthor_1_16_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Fatal Invention,$16.99,https://www.audible.com/author/Tom-Griffiths/B01CIRWAUA?ref=a_search_c3_lAuthor_1_16_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Natural Healing,$22.50,https://www.audible.com/search?searchNarrator=Brian+Christian&ref=a_search_c3_lNarrator_1_16_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Social Engineering, Second Edition",$52.77,https://www.audible.com/pd/12-Essential-Scientific-Concepts-Audiobook/B00HU7T81S?qid=1692093044&sr=1-17&ref=a_search_c3_lProduct_1_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Getting Rich,Free with Plus trial,https://www.audible.com/pd/12-Essential-Scientific-Concepts-Audiobook/B00HU7T81S?qid=1692093044&sr=1-17&ref=a_search_c3_lProduct_1_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Data Science for Dummies,$21.90,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_17_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Sheep Look Up,Free with Plus trial,https://www.audible.com/search?searchAuthor=Indre+Viskontas&ref=a_search_c3_lAuthor_1_17_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Black Water,$18.19,https://www.audible.com/search?searchNarrator=Indre+Viskontas&ref=a_search_c3_lNarrator_1_17_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),$20.99,https://www.audible.com/series/The-Great-Courses-History-of-Science-Audiobooks/B00DN7N09A?ref=a_search_c3_lSeries_1_17_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Song of the Cell,Free with Plus trial,https://www.audible.com/pd/Unf-ck-Your-Anger-Audiobook/1982672048?qid=1692093044&sr=1-18&ref=a_search_c3_lProduct_1_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Man's Search for Meaning,$31.49,https://www.audible.com/pd/Unf-ck-Your-Anger-Audiobook/1982672048?qid=1692093044&sr=1-18&ref=a_search_c3_lProduct_1_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Borders of Infinity,$26.05,https://www.audible.com/author/Dr-Faith-G-Harper/B0743LG5R3?ref=a_search_c3_lAuthor_1_18_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Artificial Intelligence Basics,$24.33,https://www.audible.com/search?searchNarrator=Erin+Bennett&ref=a_search_c3_lNarrator_1_18_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Hidden Potential,Free with Plus trial,https://www.audible.com/pd/Body-by-Science-Audiobook/1515942783?qid=1692093044&sr=1-19&ref=a_search_c3_lProduct_1_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Ciaphas Cain: The Anthology,$32.71,https://www.audible.com/pd/Body-by-Science-Audiobook/1515942783?qid=1692093044&sr=1-19&ref=a_search_c3_lProduct_1_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Influence,$14.95,https://www.audible.com/author/Doug-McGuff/B001JRTE7S?ref=a_search_c3_lAuthor_1_19_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Extreme Weather,$24.95,https://www.audible.com/author/John-Little/B004N982FE?ref=a_search_c3_lAuthor_1_19_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Origin and Evolution of Earth,Free with Plus trial,https://www.audible.com/search?searchNarrator=Rick+Adamson&ref=a_search_c3_lNarrator_1_19_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
What It's Like to Be a Bird,$7.95,https://www.audible.com/pd/The-Science-of-Getting-Rich-Audiobook/B079H2G9N7?qid=1692093044&sr=1-20&ref=a_search_c3_lProduct_1_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Proust and the Squid,Free with Plus trial,https://www.audible.com/pd/The-Science-of-Getting-Rich-Audiobook/B079H2G9N7?qid=1692093044&sr=1-20&ref=a_search_c3_lProduct_1_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Running,$29.95,https://www.audible.com/author/Wallace-D-Wattles/B000APTE70?ref=a_search_c3_lAuthor_1_20_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Mass Effect&trade; Andromeda: Nexus Uprising,$21.31,https://www.audible.com/search?searchNarrator=Lloyd+James&ref=a_search_c3_lNarrator_1_20_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The ChatGPT Edge,Free with Plus trial,https://www.audible.com/pd/The-Character-of-Physical-Law-Audiobook/B00CS962AS?qid=1692093062&sr=1-21&ref=a_search_c3_lProduct_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Lessons in Chemistry,$10.49,https://www.audible.com/pd/The-Character-of-Physical-Law-Audiobook/B00CS962AS?qid=1692093062&sr=1-21&ref=a_search_c3_lProduct_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Political Science for Dummies,$9.95,https://www.audible.com/author/Richard-P-Feynman/B000AQ47U8?ref=a_search_c3_lAuthor_2_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Vitamins, Minerals, and Trace Elements (Lifestyle, Food, and Other)",Free with Plus trial,https://www.audible.com/search?searchNarrator=Sean+Runnette&ref=a_search_c3_lNarrator_2_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Build a Career in Data Science,$19.95,https://www.audible.com/pd/Pandoras-Lab-Audiobook/B06XGJXWL3?qid=1692093062&sr=1-22&ref=a_search_c3_lProduct_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"The Adventures of Tom Stranger, Interdimensional Insurance Agent",$14.95,https://www.audible.com/pd/Pandoras-Lab-Audiobook/B06XGJXWL3?qid=1692093062&sr=1-22&ref=a_search_c3_lProduct_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Deliverance,$4.17,https://www.audible.com/author/Paul-A-Offit/B001ILIGP6?ref=a_search_c3_lAuthor_2_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Science Fictions,$18.24,https://www.audible.com/search?searchNarrator=Greg+Tremblay&ref=a_search_c3_lNarrator_2_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
How Science Shapes Science Fiction,Free with Plus trial,https://www.audible.com/pd/Starry-Messenger-Audiobook/B09Q7SMLX8?qid=1692093062&sr=1-23&ref=a_search_c3_lProduct_2_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Elon Musk,$33.49,https://www.audible.com/pd/Starry-Messenger-Audiobook/B09Q7SMLX8?qid=1692093062&sr=1-23&ref=a_search_c3_lProduct_2_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Information: From Language to Black Holes,Free with Plus trial,https://www.audible.com/author/Neil-deGrasse-Tyson/B00NSCELKC?ref=a_search_c3_lAuthor_2_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Burden of Time,$24.95,https://www.audible.com/search?searchNarrator=Neil+deGrasse+Tyson&ref=a_search_c3_lNarrator_2_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Culinary Reactions,$24.95,https://www.audible.com/pd/Biology-The-Science-of-Life-Audiobook/B00DB6N2R8?qid=1692093062&sr=1-24&ref=a_search_c3_lProduct_2_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Outlive,Free with Plus trial,https://www.audible.com/pd/Biology-The-Science-of-Life-Audiobook/B00DB6N2R8?qid=1692093062&sr=1-24&ref=a_search_c3_lProduct_2_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Blood Brothers,$20.99,https://www.audible.com/search?searchAuthor=Stephen+Nowicki&ref=a_search_c3_lAuthor_2_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The A.I. Who Loved Me,Free with Plus trial,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_2_4_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
What Do You Care What Other People Think?,$30.41,https://www.audible.com/search?searchNarrator=Stephen+Nowicki&ref=a_search_c3_lNarrator_2_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Dark Future,Free with Plus trial,https://www.audible.com/series/The-Great-Courses-Biology-Audiobooks/B00DLM8DWQ?ref=a_search_c3_lSeries_2_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
From Bacteria to Bach and Back,$20.99,https://www.audible.com/pd/Data-Science-for-Business-Audiobook/B08VLVXSJ5?qid=1692093062&sr=1-25&ref=a_search_c3_lProduct_2_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Nova Terra: Titan and Greymane,Free with Plus trial,https://www.audible.com/pd/Data-Science-for-Business-Audiobook/B08VLVXSJ5?qid=1692093062&sr=1-25&ref=a_search_c3_lProduct_2_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
I Married a Dryad,$6.95,https://www.audible.com/search?searchAuthor=Foster+Provost&ref=a_search_c3_lAuthor_2_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Fire from Within,$20.99,https://www.audible.com/search?searchAuthor=Tom+Fawcett&ref=a_search_c3_lAuthor_2_5_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
$2.00 a Day,Free with Plus trial,https://www.audible.com/search?searchNarrator=Benjamin+Lange&ref=a_search_c3_lNarrator_2_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
A Little History of Science,$24.33,https://www.audible.com/pd/The-Science-of-Rapid-Skill-Acquisition-Second-Edition-Audiobook/B07PB4QMKP?qid=1692093062&sr=1-26&ref=a_search_c3_lProduct_2_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Science Wars: What Scientists Know and How They Know It,Free with Plus trial,https://www.audible.com/pd/The-Science-of-Rapid-Skill-Acquisition-Second-Edition-Audiobook/B07PB4QMKP?qid=1692093062&sr=1-26&ref=a_search_c3_lProduct_2_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
48 Laws of Power,$1.43,https://www.audible.com/author/Peter-Hollins/B0034PEREI?ref=a_search_c3_lAuthor_2_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Trust,Free with Plus trial,https://www.audible.com/search?searchNarrator=Russell+Newton&ref=a_search_c3_lNarrator_2_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Blueshift,$27.99,https://www.audible.com/series/Learning-how-to-Learn-Audiobooks/B09TLG9CB4?ref=a_search_c3_lSeries_2_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Many Short Lives of Charles Waters,$22.49,https://www.audible.com/pd/The-Science-of-Interstellar-Audiobook/B00RW4BZAQ?qid=1692093062&sr=1-27&ref=a_search_c3_lProduct_2_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Self-Discipline,$12.15,https://www.audible.com/pd/The-Science-of-Interstellar-Audiobook/B00RW4BZAQ?qid=1692093062&sr=1-27&ref=a_search_c3_lProduct_2_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Ender's Game Alive: The Full Cast Audioplay,Free with Plus trial,https://www.audible.com/author/Kip-Thorne/B00QU95HNK?ref=a_search_c3_lAuthor_2_7_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Outlive,$15.81,https://www.audible.com/search?searchNarrator=Eric+Michael+Summerer&ref=a_search_c3_lNarrator_2_7_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Remarkable Science of Ancient Astronomy,Free with Plus trial,https://www.audible.com/pd/Are-We-Smart-Enough-to-Know-How-Smart-Animals-Are-Audiobook/B01E46MHTC?qid=1692093062&sr=1-28&ref=a_search_c3_lProduct_2_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Soil Science for Regenerative Agriculture,$15.22,https://www.audible.com/pd/Are-We-Smart-Enough-to-Know-How-Smart-Animals-Are-Audiobook/B01E46MHTC?qid=1692093062&sr=1-28&ref=a_search_c3_lProduct_2_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Selling,Free with Plus trial,https://www.audible.com/author/Frans-De-Waal/B000APOHE0?ref=a_search_c3_lAuthor_2_8_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
American Prometheus,$35.00,https://www.audible.com/search?searchNarrator=Sean+Runnette&ref=a_search_c3_lNarrator_2_8_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The One Thing You Need to Know,$32.71,https://www.audible.com/pd/Philosophy-of-Science-Audiobook/B00DL6GQ44?qid=1692093062&sr=1-29&ref=a_search_c3_lProduct_2_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Good Omens,$17.19,https://www.audible.com/pd/Philosophy-of-Science-Audiobook/B00DL6GQ44?qid=1692093062&sr=1-29&ref=a_search_c3_lProduct_2_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=R5ZTFRERJ4FAND0D2X06&pageLoadId=UvzPjc4XocsUx84x&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
